workload,time_limit,max_txn_len,bug
mini,30min,4,42
,,,
append,30min,2,43
append,30min,4,33
append,30min,6,23
append,30min,8,16
append,30min,10,13
append,30min,12,5
,,,
,,,
wr,30min,2,37
wr,30min,4,24
wr,30min,6,21
wr,30min,8,11
wr,30min,10,11
wr,30min,12,10
