sessions,keys,txns,ops,cobra_gen,cobra_check,mini_gen,mini_check,cobra_check_gpu
8,100,1000,20,6.804936,19.747799999999998,1.0032059999999998,0.0402,3.7166
8,200,1000,20,3.4044480000000004,10.8308,1.0031119999999998,0.0396,1.4506
8,500,1000,20,1.6044159999999998,10.096,1.003914,0.0424,0.9756
8,1000,1000,20,1.404594,8.7594,1.002968,0.0414,0.8956000000000001
8,5000,1000,20,1.0038479999999999,5.2188,1.0031139999999998,0.0436,0.7226
