sessions,keys,txns,kd,polysi,mini
8,100,20000,0,167.139,0.9134
8,500,20000,0,21.117,0.8748
8,1000,20000,0,12.6728,0.8976
8,5000,20000,0,6.4578,0.8662
8,10000,20000,0,5.3814,0.8724
8,20000,20000,0,4.8106,0.8954
8,40000,20000,0,4.573,0.9388
