sessions,keys,txns,cobra,mini
8,500,100,0.094,0.0484
8,500,500,0.136,0.0926
8,500,1000,0.1944,0.1362
8,500,5000,0.5782,0.3292
8,500,10000,0.9236,0.5524
8,500,50000,3.165,1.7773333333333333
