sessions,keys,txns,cobra,mini
8,100,100000,11.4098,3.5424
8,500,100000,6.5444,3.6952
8,1000,100000,5.6252,3.6398
8,5000,100000,5.2082,3.5552
8,10000,100000,4.9916,3.6556
8,50000,100000,4.771,3.7668
8,100000,100000,4.578,3.8778
8,500000,100000,4.7386,3.981
