Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 1, Time: 82938ms, Checking Time: 2425ms, Bug: Y , N_Count: 4980 , OK_Count: 4927, Abort Rate: 0.011
Round: 2, Time: 94974ms, Checking Time: 1443ms, Bug: N , N_Count: 5028 , OK_Count: 5000, Abort Rate: 0.006
Round: 3, Time: 100835ms, Checking Time: 7078ms, Bug: Y , N_Count: 3756 , OK_Count: 3712, Abort Rate: 0.012
Round: 4, Time: 82095ms, Checking Time: 904ms, Bug: N , N_Count: 3965 , OK_Count: 3922, Abort Rate: 0.011
Round: 5, Time: 92074ms, Checking Time: 1133ms, Bug: N , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 6, Time: 81522ms, Checking Time: 1197ms, Bug: Y , N_Count: 4509 , OK_Count: 4461, Abort Rate: 0.011
Round: 7, Time: 91858ms, Checking Time: 1127ms, Bug: Y , N_Count: 5035 , OK_Count: 5001, Abort Rate: 0.007
Round: 8, Time: 88333ms, Checking Time: 3026ms, Bug: Y , N_Count: 5033 , OK_Count: 5000, Abort Rate: 0.007
Round: 9, Time: 96140ms, Checking Time: 1685ms, Bug: Y , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 10, Time: 80249ms, Checking Time: 1006ms, Bug: N , N_Count: 4055 , OK_Count: 4013, Abort Rate: 0.010
Round: 11, Time: 88452ms, Checking Time: 7777ms, Bug: Y , N_Count: 4231 , OK_Count: 4184, Abort Rate: 0.011
Round: 12, Time: 101889ms, Checking Time: 1079ms, Bug: N , N_Count: 3243 , OK_Count: 3198, Abort Rate: 0.014
Round: 13, Time: 88630ms, Checking Time: 1876ms, Bug: N , N_Count: 4571 , OK_Count: 4524, Abort Rate: 0.010
Round: 14, Time: 124826ms, Checking Time: 8022ms, Bug: Y , N_Count: 4090 , OK_Count: 4052, Abort Rate: 0.009
Round: 15, Time: 124976ms, Checking Time: 7928ms, Bug: Y , N_Count: 4900 , OK_Count: 4857, Abort Rate: 0.009
Round: 16, Time: 96201ms, Checking Time: 1420ms, Bug: Y , N_Count: 5044 , OK_Count: 5000, Abort Rate: 0.009
Round: 17, Time: 99625ms, Checking Time: 1642ms, Bug: Y , N_Count: 4088 , OK_Count: 4037, Abort Rate: 0.012
Round: 18, Time: 112834ms, Checking Time: 5040ms, Bug: Y , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 19, Time: 88560ms, Checking Time: 1629ms, Bug: N , N_Count: 5035 , OK_Count: 5000, Abort Rate: 0.007
Round: 20, Time: 100185ms, Checking Time: 1830ms, Bug: Y , N_Count: 4790 , OK_Count: 4746, Abort Rate: 0.009
