Run with txn_num: 1000, test_count: 50
max_txn_length: 2
=======================
Round: 50, Time: 9673ms, Checking Time: 400ms, Bug: Y , N_Count: 1320 , OK_Count: 1002, Abort Rate: 0.241
=======================
Total Run Time: 494975ms, Total Checking Time: 18034ms
Bug / Total: 9/50

max_txn_length: 4
=======================
Round: 1, Time: 11187ms, Checking Time: 389ms, Bug: N , N_Count: 1825 , OK_Count: 1004, Abort Rate: 0.450
Round: 2, Time: 11605ms, Checking Time: 385ms, Bug: N , N_Count: 1938 , OK_Count: 1011, Abort Rate: 0.478
Round: 3, Time: 11924ms, Checking Time: 504ms, Bug: Y , N_Count: 1886 , OK_Count: 1003, Abort Rate: 0.468
Round: 4, Time: 11376ms, Checking Time: 493ms, Bug: Y , N_Count: 1815 , OK_Count: 1012, Abort Rate: 0.442
Round: 5, Time: 11048ms, Checking Time: 467ms, Bug: Y , N_Count: 1838 , OK_Count: 1004, Abort Rate: 0.454
Round: 6, Time: 11022ms, Checking Time: 400ms, Bug: Y , N_Count: 1954 , OK_Count: 1003, Abort Rate: 0.487
Round: 7, Time: 10561ms, Checking Time: 396ms, Bug: Y , N_Count: 1921 , OK_Count: 1003, Abort Rate: 0.478
Round: 8, Time: 11731ms, Checking Time: 374ms, Bug: Y , N_Count: 1907 , OK_Count: 1008, Abort Rate: 0.471
Round: 9, Time: 12007ms, Checking Time: 452ms, Bug: Y , N_Count: 1925 , OK_Count: 1004, Abort Rate: 0.478
Round: 10, Time: 11724ms, Checking Time: 489ms, Bug: Y , N_Count: 1925 , OK_Count: 1006, Abort Rate: 0.477
Round: 11, Time: 11802ms, Checking Time: 351ms, Bug: N , N_Count: 1903 , OK_Count: 1014, Abort Rate: 0.467
Round: 12, Time: 12041ms, Checking Time: 368ms, Bug: N , N_Count: 1915 , OK_Count: 1006, Abort Rate: 0.475
Round: 13, Time: 11186ms, Checking Time: 404ms, Bug: Y , N_Count: 1937 , OK_Count: 1007, Abort Rate: 0.480
Round: 14, Time: 11605ms, Checking Time: 467ms, Bug: Y , N_Count: 1883 , OK_Count: 1006, Abort Rate: 0.466
Round: 15, Time: 11718ms, Checking Time: 404ms, Bug: Y , N_Count: 1877 , OK_Count: 1005, Abort Rate: 0.465
Round: 16, Time: 11761ms, Checking Time: 365ms, Bug: N , N_Count: 1963 , OK_Count: 1007, Abort Rate: 0.487
Round: 17, Time: 12194ms, Checking Time: 457ms, Bug: Y , N_Count: 1944 , OK_Count: 1005, Abort Rate: 0.483
Round: 18, Time: 11710ms, Checking Time: 468ms, Bug: Y , N_Count: 1864 , OK_Count: 1005, Abort Rate: 0.461
Round: 19, Time: 12018ms, Checking Time: 465ms, Bug: Y , N_Count: 1910 , OK_Count: 1006, Abort Rate: 0.473
Round: 20, Time: 11902ms, Checking Time: 388ms, Bug: N , N_Count: 1939 , OK_Count: 1007, Abort Rate: 0.481
Round: 21, Time: 11139ms, Checking Time: 373ms, Bug: Y , N_Count: 1890 , OK_Count: 1011, Abort Rate: 0.465
Round: 22, Time: 11660ms, Checking Time: 389ms, Bug: N , N_Count: 1910 , OK_Count: 1003, Abort Rate: 0.475
Round: 23, Time: 11725ms, Checking Time: 331ms, Bug: N , N_Count: 1854 , OK_Count: 1007, Abort Rate: 0.457
Round: 24, Time: 11632ms, Checking Time: 384ms, Bug: N , N_Count: 1930 , OK_Count: 1010, Abort Rate: 0.477
Round: 25, Time: 12823ms, Checking Time: 511ms, Bug: Y , N_Count: 1883 , OK_Count: 1001, Abort Rate: 0.468
Round: 26, Time: 11095ms, Checking Time: 436ms, Bug: Y , N_Count: 1903 , OK_Count: 1004, Abort Rate: 0.472
Round: 27, Time: 11648ms, Checking Time: 371ms, Bug: N , N_Count: 1881 , OK_Count: 1003, Abort Rate: 0.467
Round: 28, Time: 10786ms, Checking Time: 419ms, Bug: Y , N_Count: 1865 , OK_Count: 1003, Abort Rate: 0.462
Round: 29, Time: 11740ms, Checking Time: 461ms, Bug: Y , N_Count: 1873 , OK_Count: 1004, Abort Rate: 0.464
Round: 30, Time: 11365ms, Checking Time: 351ms, Bug: N , N_Count: 1955 , OK_Count: 1007, Abort Rate: 0.485
Round: 31, Time: 12387ms, Checking Time: 473ms, Bug: Y , N_Count: 1848 , OK_Count: 1002, Abort Rate: 0.458
Round: 32, Time: 11408ms, Checking Time: 370ms, Bug: N , N_Count: 1864 , OK_Count: 1006, Abort Rate: 0.460
Round: 33, Time: 11285ms, Checking Time: 386ms, Bug: N , N_Count: 1828 , OK_Count: 1006, Abort Rate: 0.450
Round: 34, Time: 12020ms, Checking Time: 365ms, Bug: N , N_Count: 1940 , OK_Count: 1010, Abort Rate: 0.479
Round: 35, Time: 13038ms, Checking Time: 415ms, Bug: Y , N_Count: 1933 , OK_Count: 1006, Abort Rate: 0.480
Round: 36, Time: 11408ms, Checking Time: 401ms, Bug: N , N_Count: 1860 , OK_Count: 1003, Abort Rate: 0.461
Round: 37, Time: 11457ms, Checking Time: 344ms, Bug: N , N_Count: 1922 , OK_Count: 1008, Abort Rate: 0.476
Round: 38, Time: 11720ms, Checking Time: 401ms, Bug: Y , N_Count: 1832 , OK_Count: 1005, Abort Rate: 0.451
Round: 39, Time: 11650ms, Checking Time: 371ms, Bug: N , N_Count: 1850 , OK_Count: 1007, Abort Rate: 0.456
Round: 40, Time: 11384ms, Checking Time: 390ms, Bug: Y , N_Count: 1896 , OK_Count: 1004, Abort Rate: 0.470
Round: 41, Time: 11629ms, Checking Time: 374ms, Bug: N , N_Count: 1938 , OK_Count: 1006, Abort Rate: 0.481
Round: 42, Time: 11756ms, Checking Time: 377ms, Bug: N , N_Count: 1929 , OK_Count: 1010, Abort Rate: 0.476
Round: 43, Time: 12995ms, Checking Time: 460ms, Bug: Y , N_Count: 1943 , OK_Count: 1008, Abort Rate: 0.481
Round: 44, Time: 11106ms, Checking Time: 369ms, Bug: N , N_Count: 1858 , OK_Count: 1007, Abort Rate: 0.458
Round: 45, Time: 11739ms, Checking Time: 382ms, Bug: N , N_Count: 1909 , OK_Count: 1005, Abort Rate: 0.474
Round: 46, Time: 11703ms, Checking Time: 540ms, Bug: Y , N_Count: 1856 , OK_Count: 1003, Abort Rate: 0.460
Round: 47, Time: 11780ms, Checking Time: 413ms, Bug: Y , N_Count: 1921 , OK_Count: 1010, Abort Rate: 0.474
Round: 48, Time: 11428ms, Checking Time: 401ms, Bug: N , N_Count: 1953 , OK_Count: 1003, Abort Rate: 0.486
Round: 49, Time: 11538ms, Checking Time: 361ms, Bug: N , N_Count: 1908 , OK_Count: 1007, Abort Rate: 0.472
Round: 50, Time: 11577ms, Checking Time: 409ms, Bug: Y , N_Count: 1872 , OK_Count: 1004, Abort Rate: 0.464
=======================
Total Run Time: 582743ms, Total Checking Time: 20514ms
Bug / Total: 27/50

max_txn_length: 6
=======================
Round: 1, Time: 12885ms, Checking Time: 386ms, Bug: N , N_Count: 2485 , OK_Count: 1007, Abort Rate: 0.595
Round: 2, Time: 12909ms, Checking Time: 478ms, Bug: Y , N_Count: 2470 , OK_Count: 1005, Abort Rate: 0.593
Round: 3, Time: 12823ms, Checking Time: 362ms, Bug: N , N_Count: 2435 , OK_Count: 1005, Abort Rate: 0.587
Round: 4, Time: 13545ms, Checking Time: 530ms, Bug: Y , N_Count: 2563 , OK_Count: 1010, Abort Rate: 0.606
Round: 5, Time: 13162ms, Checking Time: 480ms, Bug: Y , N_Count: 2425 , OK_Count: 1008, Abort Rate: 0.584
Round: 6, Time: 12913ms, Checking Time: 438ms, Bug: Y , N_Count: 2383 , OK_Count: 1008, Abort Rate: 0.577
Round: 7, Time: 13187ms, Checking Time: 463ms, Bug: Y , N_Count: 2472 , OK_Count: 1003, Abort Rate: 0.594
Round: 8, Time: 13493ms, Checking Time: 459ms, Bug: N , N_Count: 2631 , OK_Count: 1006, Abort Rate: 0.618
Round: 9, Time: 13425ms, Checking Time: 496ms, Bug: Y , N_Count: 2500 , OK_Count: 1004, Abort Rate: 0.598
Round: 10, Time: 13921ms, Checking Time: 494ms, Bug: Y , N_Count: 2639 , OK_Count: 1008, Abort Rate: 0.618
