Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 49, Time: 94846ms, Checking Time: 2042ms, Bug: Y , N_Count: 5041 , OK_Count: 5001, Abort Rate: 0.008
Round: 50, Time: 106696ms, Checking Time: 7683ms, Bug: Y , N_Count: 5034 , OK_Count: 5000, Abort Rate: 0.007
=======================
Total Run Time: 5643166ms, Total Checking Time: 158790ms
Bug / Total: 46/50

max_txn_length: 4
=======================
Round: 1, Time: 101692ms, Checking Time: 1440ms, Bug: N , N_Count: 5041 , OK_Count: 5000, Abort Rate: 0.008
Round: 2, Time: 89395ms, Checking Time: 1968ms, Bug: Y , N_Count: 5027 , OK_Count: 5000, Abort Rate: 0.005
Round: 3, Time: 124193ms, Checking Time: 1031ms, Bug: N , N_Count: 5064 , OK_Count: 5000, Abort Rate: 0.013
Round: 4, Time: 122805ms, Checking Time: 1754ms, Bug: Y , N_Count: 5057 , OK_Count: 5000, Abort Rate: 0.011
Round: 5, Time: 114838ms, Checking Time: 1506ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 6, Time: 163526ms, Checking Time: 1111ms, Bug: N , N_Count: 5091 , OK_Count: 5000, Abort Rate: 0.018
Round: 7, Time: 93315ms, Checking Time: 1367ms, Bug: N , N_Count: 5048 , OK_Count: 5000, Abort Rate: 0.010
Round: 8, Time: 153942ms, Checking Time: 1596ms, Bug: Y , N_Count: 5089 , OK_Count: 5000, Abort Rate: 0.017
Round: 9, Time: 126112ms, Checking Time: 1301ms, Bug: Y , N_Count: 5069 , OK_Count: 5000, Abort Rate: 0.014
Round: 10, Time: 113225ms, Checking Time: 1470ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 11, Time: 97666ms, Checking Time: 1882ms, Bug: N , N_Count: 5036 , OK_Count: 5000, Abort Rate: 0.007
Round: 12, Time: 114676ms, Checking Time: 1719ms, Bug: Y , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 13, Time: 106993ms, Checking Time: 1418ms, Bug: Y , N_Count: 5044 , OK_Count: 5000, Abort Rate: 0.009
Round: 14, Time: 117506ms, Checking Time: 1186ms, Bug: N , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 15, Time: 101203ms, Checking Time: 1130ms, Bug: Y , N_Count: 5053 , OK_Count: 5000, Abort Rate: 0.010
Round: 16, Time: 138866ms, Checking Time: 1253ms, Bug: Y , N_Count: 5081 , OK_Count: 5000, Abort Rate: 0.016
Round: 17, Time: 105876ms, Checking Time: 1582ms, Bug: Y , N_Count: 5042 , OK_Count: 5001, Abort Rate: 0.008
Round: 18, Time: 117395ms, Checking Time: 2414ms, Bug: Y , N_Count: 5055 , OK_Count: 5001, Abort Rate: 0.011
Round: 19, Time: 120065ms, Checking Time: 1300ms, Bug: Y , N_Count: 5066 , OK_Count: 5000, Abort Rate: 0.013
Round: 20, Time: 113739ms, Checking Time: 1319ms, Bug: Y , N_Count: 5039 , OK_Count: 5001, Abort Rate: 0.008
Round: 21, Time: 117399ms, Checking Time: 1188ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 22, Time: 135085ms, Checking Time: 5423ms, Bug: Y , N_Count: 5067 , OK_Count: 5000, Abort Rate: 0.013
Round: 23, Time: 129100ms, Checking Time: 1384ms, Bug: Y , N_Count: 5053 , OK_Count: 5000, Abort Rate: 0.010
Round: 24, Time: 132631ms, Checking Time: 1550ms, Bug: Y , N_Count: 5073 , OK_Count: 5000, Abort Rate: 0.014
Round: 25, Time: 113038ms, Checking Time: 1512ms, Bug: Y , N_Count: 5051 , OK_Count: 5000, Abort Rate: 0.010
Round: 26, Time: 136633ms, Checking Time: 1398ms, Bug: Y , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 27, Time: 94510ms, Checking Time: 1554ms, Bug: N , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
Round: 28, Time: 118513ms, Checking Time: 1273ms, Bug: Y , N_Count: 5074 , OK_Count: 5001, Abort Rate: 0.014
Round: 29, Time: 87537ms, Checking Time: 1334ms, Bug: N , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 30, Time: 128130ms, Checking Time: 1472ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 31, Time: 110032ms, Checking Time: 1326ms, Bug: Y , N_Count: 5058 , OK_Count: 5000, Abort Rate: 0.011
Round: 32, Time: 157499ms, Checking Time: 1639ms, Bug: Y , N_Count: 5081 , OK_Count: 5000, Abort Rate: 0.016
Round: 33, Time: 131705ms, Checking Time: 1315ms, Bug: Y , N_Count: 5067 , OK_Count: 5000, Abort Rate: 0.013
Round: 34, Time: 100856ms, Checking Time: 7785ms, Bug: Y , N_Count: 5046 , OK_Count: 5001, Abort Rate: 0.009
Round: 35, Time: 119387ms, Checking Time: 1212ms, Bug: N , N_Count: 5056 , OK_Count: 5001, Abort Rate: 0.011
Round: 36, Time: 107401ms, Checking Time: 1901ms, Bug: Y , N_Count: 5032 , OK_Count: 5001, Abort Rate: 0.006
Round: 37, Time: 126486ms, Checking Time: 5560ms, Bug: Y , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 38, Time: 132846ms, Checking Time: 1218ms, Bug: Y , N_Count: 5073 , OK_Count: 5001, Abort Rate: 0.014
Round: 39, Time: 127864ms, Checking Time: 2307ms, Bug: Y , N_Count: 5054 , OK_Count: 5001, Abort Rate: 0.010
Round: 40, Time: 101500ms, Checking Time: 1372ms, Bug: N , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 41, Time: 148023ms, Checking Time: 4557ms, Bug: Y , N_Count: 5083 , OK_Count: 5001, Abort Rate: 0.016
Round: 42, Time: 114027ms, Checking Time: 1203ms, Bug: Y , N_Count: 5052 , OK_Count: 5001, Abort Rate: 0.010
Round: 43, Time: 111623ms, Checking Time: 2691ms, Bug: Y , N_Count: 5049 , OK_Count: 5000, Abort Rate: 0.010
Round: 44, Time: 139549ms, Checking Time: 1240ms, Bug: Y , N_Count: 5083 , OK_Count: 5000, Abort Rate: 0.016
Round: 45, Time: 85620ms, Checking Time: 1736ms, Bug: N , N_Count: 5024 , OK_Count: 5000, Abort Rate: 0.005
Round: 46, Time: 117012ms, Checking Time: 1143ms, Bug: Y , N_Count: 5059 , OK_Count: 5001, Abort Rate: 0.011
Round: 47, Time: 110151ms, Checking Time: 1606ms, Bug: Y , N_Count: 5056 , OK_Count: 5001, Abort Rate: 0.011
Round: 48, Time: 88462ms, Checking Time: 1682ms, Bug: N , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 49, Time: 125136ms, Checking Time: 1398ms, Bug: Y , N_Count: 5065 , OK_Count: 5001, Abort Rate: 0.013
Round: 50, Time: 119636ms, Checking Time: 1355ms, Bug: Y , N_Count: 5057 , OK_Count: 5001, Abort Rate: 0.011
=======================
Total Run Time: 5904419ms, Total Checking Time: 92081ms
Bug / Total: 38/50

max_txn_length: 6
=======================
Round: 1, Time: 155762ms, Checking Time: 1503ms, Bug: Y , N_Count: 5092 , OK_Count: 5000, Abort Rate: 0.018
Round: 2, Time: 107650ms, Checking Time: 1506ms, Bug: Y , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 3, Time: 101235ms, Checking Time: 2362ms, Bug: Y , N_Count: 5048 , OK_Count: 5000, Abort Rate: 0.010
Round: 4, Time: 154627ms, Checking Time: 1524ms, Bug: Y , N_Count: 5086 , OK_Count: 5000, Abort Rate: 0.017
Round: 5, Time: 129748ms, Checking Time: 1520ms, Bug: Y , N_Count: 5065 , OK_Count: 5000, Abort Rate: 0.013
Round: 6, Time: 87972ms, Checking Time: 1725ms, Bug: N , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 7, Time: 129911ms, Checking Time: 1248ms, Bug: N , N_Count: 5066 , OK_Count: 5000, Abort Rate: 0.013
Round: 8, Time: 138579ms, Checking Time: 1378ms, Bug: N , N_Count: 5065 , OK_Count: 5000, Abort Rate: 0.013
Round: 9, Time: 115889ms, Checking Time: 1230ms, Bug: N , N_Count: 5051 , OK_Count: 5000, Abort Rate: 0.010
Round: 10, Time: 153079ms, Checking Time: 1965ms, Bug: Y , N_Count: 5089 , OK_Count: 5000, Abort Rate: 0.017
Round: 11, Time: 139863ms, Checking Time: 1528ms, Bug: Y , N_Count: 5077 , OK_Count: 5000, Abort Rate: 0.015
Round: 12, Time: 127895ms, Checking Time: 1365ms, Bug: Y , N_Count: 5066 , OK_Count: 5000, Abort Rate: 0.013
Round: 13, Time: 96527ms, Checking Time: 1738ms, Bug: Y , N_Count: 5033 , OK_Count: 5000, Abort Rate: 0.007
Round: 14, Time: 117776ms, Checking Time: 1637ms, Bug: Y , N_Count: 5050 , OK_Count: 5000, Abort Rate: 0.010
Round: 15, Time: 117883ms, Checking Time: 1587ms, Bug: Y , N_Count: 5051 , OK_Count: 5000, Abort Rate: 0.010
Round: 16, Time: 145881ms, Checking Time: 1331ms, Bug: Y , N_Count: 5065 , OK_Count: 5000, Abort Rate: 0.013
Round: 17, Time: 142892ms, Checking Time: 2110ms, Bug: N , N_Count: 5035 , OK_Count: 5000, Abort Rate: 0.007
Round: 18, Time: 83257ms, Checking Time: 1868ms, Bug: N , N_Count: 5036 , OK_Count: 5000, Abort Rate: 0.007
Round: 19, Time: 156117ms, Checking Time: 1499ms, Bug: N , N_Count: 5071 , OK_Count: 5000, Abort Rate: 0.014
Round: 20, Time: 103703ms, Checking Time: 1325ms, Bug: N , N_Count: 5051 , OK_Count: 5001, Abort Rate: 0.010
