Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 49, Time: 97834ms, Checking Time: 1794ms, Bug: Y , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
Round: 50, Time: 75739ms, Checking Time: 617ms, Bug: Y , N_Count: 5042 , OK_Count: 5001, Abort Rate: 0.008
=======================
Total Run Time: 4808397ms, Total Checking Time: 80554ms
Bug / Total: 48/50

max_txn_length: 4
=======================
Round: 1, Time: 111926ms, Checking Time: 586ms, Bug: Y , N_Count: 5034 , OK_Count: 5000, Abort Rate: 0.007
Round: 2, Time: 148876ms, Checking Time: 645ms, Bug: Y , N_Count: 5088 , OK_Count: 5000, Abort Rate: 0.017
Round: 3, Time: 122967ms, Checking Time: 663ms, Bug: N , N_Count: 5057 , OK_Count: 5000, Abort Rate: 0.011
Round: 4, Time: 101305ms, Checking Time: 604ms, Bug: N , N_Count: 5054 , OK_Count: 5000, Abort Rate: 0.011
Round: 5, Time: 143428ms, Checking Time: 2783ms, Bug: Y , N_Count: 5068 , OK_Count: 5000, Abort Rate: 0.013
Round: 6, Time: 155320ms, Checking Time: 721ms, Bug: Y , N_Count: 5052 , OK_Count: 5001, Abort Rate: 0.010
Round: 7, Time: 102039ms, Checking Time: 760ms, Bug: Y , N_Count: 5040 , OK_Count: 5000, Abort Rate: 0.008
Round: 8, Time: 159194ms, Checking Time: 557ms, Bug: Y , N_Count: 5084 , OK_Count: 5001, Abort Rate: 0.016
Round: 9, Time: 116319ms, Checking Time: 604ms, Bug: N , N_Count: 5046 , OK_Count: 5000, Abort Rate: 0.009
Round: 10, Time: 159815ms, Checking Time: 641ms, Bug: Y , N_Count: 5067 , OK_Count: 5001, Abort Rate: 0.013
Round: 11, Time: 111289ms, Checking Time: 602ms, Bug: Y , N_Count: 5046 , OK_Count: 5000, Abort Rate: 0.009
Round: 12, Time: 112587ms, Checking Time: 853ms, Bug: Y , N_Count: 5062 , OK_Count: 5001, Abort Rate: 0.012
Round: 13, Time: 91999ms, Checking Time: 842ms, Bug: Y , N_Count: 5046 , OK_Count: 5001, Abort Rate: 0.009
Round: 14, Time: 99582ms, Checking Time: 789ms, Bug: Y , N_Count: 5052 , OK_Count: 5000, Abort Rate: 0.010
Round: 15, Time: 111901ms, Checking Time: 684ms, Bug: Y , N_Count: 5051 , OK_Count: 5000, Abort Rate: 0.010
Round: 16, Time: 139228ms, Checking Time: 895ms, Bug: Y , N_Count: 5061 , OK_Count: 5000, Abort Rate: 0.012
Round: 17, Time: 101773ms, Checking Time: 579ms, Bug: Y , N_Count: 5039 , OK_Count: 5000, Abort Rate: 0.008
Round: 18, Time: 95017ms, Checking Time: 620ms, Bug: N , N_Count: 5035 , OK_Count: 5000, Abort Rate: 0.007
Round: 19, Time: 123201ms, Checking Time: 1618ms, Bug: Y , N_Count: 5060 , OK_Count: 5000, Abort Rate: 0.012
Round: 20, Time: 98459ms, Checking Time: 662ms, Bug: Y , N_Count: 5053 , OK_Count: 5000, Abort Rate: 0.010
Round: 21, Time: 114189ms, Checking Time: 777ms, Bug: Y , N_Count: 5051 , OK_Count: 5001, Abort Rate: 0.010
Round: 22, Time: 124326ms, Checking Time: 709ms, Bug: Y , N_Count: 5064 , OK_Count: 5000, Abort Rate: 0.013
Round: 23, Time: 95230ms, Checking Time: 1421ms, Bug: Y , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 24, Time: 110429ms, Checking Time: 716ms, Bug: Y , N_Count: 5066 , OK_Count: 5000, Abort Rate: 0.013
Round: 25, Time: 96185ms, Checking Time: 570ms, Bug: N , N_Count: 5035 , OK_Count: 5000, Abort Rate: 0.007
Round: 26, Time: 122559ms, Checking Time: 555ms, Bug: N , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
Round: 27, Time: 92935ms, Checking Time: 1770ms, Bug: Y , N_Count: 5044 , OK_Count: 5001, Abort Rate: 0.009
Round: 28, Time: 111062ms, Checking Time: 717ms, Bug: Y , N_Count: 5048 , OK_Count: 5000, Abort Rate: 0.010
Round: 29, Time: 167947ms, Checking Time: 573ms, Bug: N , N_Count: 5095 , OK_Count: 5000, Abort Rate: 0.019
Round: 30, Time: 117395ms, Checking Time: 751ms, Bug: Y , N_Count: 5072 , OK_Count: 5000, Abort Rate: 0.014
Round: 31, Time: 88672ms, Checking Time: 598ms, Bug: N , N_Count: 5030 , OK_Count: 5000, Abort Rate: 0.006
Round: 32, Time: 121841ms, Checking Time: 623ms, Bug: N , N_Count: 5048 , OK_Count: 5001, Abort Rate: 0.009
Round: 33, Time: 132355ms, Checking Time: 773ms, Bug: Y , N_Count: 5074 , OK_Count: 5000, Abort Rate: 0.015
Round: 34, Time: 135492ms, Checking Time: 692ms, Bug: Y , N_Count: 5085 , OK_Count: 5001, Abort Rate: 0.017
Round: 35, Time: 98721ms, Checking Time: 584ms, Bug: Y , N_Count: 5050 , OK_Count: 5000, Abort Rate: 0.010
Round: 36, Time: 87368ms, Checking Time: 642ms, Bug: Y , N_Count: 5040 , OK_Count: 5000, Abort Rate: 0.008
Round: 37, Time: 107633ms, Checking Time: 602ms, Bug: N , N_Count: 5063 , OK_Count: 5000, Abort Rate: 0.012
Round: 38, Time: 108702ms, Checking Time: 697ms, Bug: Y , N_Count: 5050 , OK_Count: 5000, Abort Rate: 0.010
Round: 39, Time: 98055ms, Checking Time: 734ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 40, Time: 93725ms, Checking Time: 757ms, Bug: Y , N_Count: 5046 , OK_Count: 5000, Abort Rate: 0.009
Round: 41, Time: 120505ms, Checking Time: 562ms, Bug: N , N_Count: 5057 , OK_Count: 5000, Abort Rate: 0.011
Round: 42, Time: 115401ms, Checking Time: 592ms, Bug: Y , N_Count: 5063 , OK_Count: 5000, Abort Rate: 0.012
Round: 43, Time: 142160ms, Checking Time: 823ms, Bug: Y , N_Count: 5080 , OK_Count: 5000, Abort Rate: 0.016
Round: 44, Time: 90440ms, Checking Time: 632ms, Bug: N , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 45, Time: 135722ms, Checking Time: 6773ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 46, Time: 130527ms, Checking Time: 600ms, Bug: N , N_Count: 5067 , OK_Count: 5000, Abort Rate: 0.013
Round: 47, Time: 94132ms, Checking Time: 912ms, Bug: Y , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 48, Time: 136584ms, Checking Time: 1182ms, Bug: Y , N_Count: 5075 , OK_Count: 5000, Abort Rate: 0.015
Round: 49, Time: 138771ms, Checking Time: 7112ms, Bug: Y , N_Count: 5066 , OK_Count: 5000, Abort Rate: 0.013
Round: 50, Time: 93989ms, Checking Time: 742ms, Bug: Y , N_Count: 5043 , OK_Count: 5000, Abort Rate: 0.009
=======================
Total Run Time: 5829277ms, Total Checking Time: 51899ms
Bug / Total: 37/50

max_txn_length: 6
=======================
Round: 1, Time: 101991ms, Checking Time: 763ms, Bug: Y , N_Count: 5039 , OK_Count: 5000, Abort Rate: 0.008
Round: 2, Time: 77397ms, Checking Time: 726ms, Bug: Y , N_Count: 5031 , OK_Count: 5000, Abort Rate: 0.006
Round: 3, Time: 174352ms, Checking Time: 752ms, Bug: Y , N_Count: 5097 , OK_Count: 5000, Abort Rate: 0.019
Round: 4, Time: 124834ms, Checking Time: 1731ms, Bug: Y , N_Count: 5076 , OK_Count: 5000, Abort Rate: 0.015
Round: 5, Time: 111398ms, Checking Time: 715ms, Bug: N , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
Round: 6, Time: 120522ms, Checking Time: 608ms, Bug: N , N_Count: 5060 , OK_Count: 5000, Abort Rate: 0.012
Round: 7, Time: 123337ms, Checking Time: 645ms, Bug: N , N_Count: 5062 , OK_Count: 5000, Abort Rate: 0.012
Round: 8, Time: 131743ms, Checking Time: 882ms, Bug: Y , N_Count: 5067 , OK_Count: 5000, Abort Rate: 0.013
Round: 9, Time: 109041ms, Checking Time: 601ms, Bug: N , N_Count: 5050 , OK_Count: 5000, Abort Rate: 0.010
Round: 10, Time: 133269ms, Checking Time: 620ms, Bug: N , N_Count: 5074 , OK_Count: 5000, Abort Rate: 0.015
Round: 11, Time: 107848ms, Checking Time: 827ms, Bug: Y , N_Count: 5043 , OK_Count: 5001, Abort Rate: 0.008
Round: 12, Time: 137787ms, Checking Time: 739ms, Bug: Y , N_Count: 5073 , OK_Count: 5000, Abort Rate: 0.015
Round: 13, Time: 70809ms, Checking Time: 723ms, Bug: N , N_Count: 5026 , OK_Count: 5000, Abort Rate: 0.005
Round: 14, Time: 80846ms, Checking Time: 681ms, Bug: N , N_Count: 5035 , OK_Count: 5000, Abort Rate: 0.007
Round: 15, Time: 95194ms, Checking Time: 802ms, Bug: Y , N_Count: 5044 , OK_Count: 5001, Abort Rate: 0.009
Round: 16, Time: 95411ms, Checking Time: 2835ms, Bug: Y , N_Count: 5050 , OK_Count: 5001, Abort Rate: 0.010
Round: 17, Time: 86223ms, Checking Time: 696ms, Bug: Y , N_Count: 5053 , OK_Count: 5000, Abort Rate: 0.011
Round: 18, Time: 101360ms, Checking Time: 866ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 19, Time: 97175ms, Checking Time: 674ms, Bug: Y , N_Count: 5047 , OK_Count: 5001, Abort Rate: 0.009
Round: 20, Time: 70624ms, Checking Time: 700ms, Bug: N , N_Count: 5026 , OK_Count: 5000, Abort Rate: 0.005
Round: 21, Time: 142184ms, Checking Time: 5234ms, Bug: Y , N_Count: 5088 , OK_Count: 5000, Abort Rate: 0.018
Round: 22, Time: 106478ms, Checking Time: 663ms, Bug: N , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 23, Time: 119031ms, Checking Time: 606ms, Bug: N , N_Count: 5059 , OK_Count: 5000, Abort Rate: 0.012
Round: 24, Time: 115782ms, Checking Time: 1918ms, Bug: Y , N_Count: 5065 , OK_Count: 5000, Abort Rate: 0.013
Round: 25, Time: 92297ms, Checking Time: 616ms, Bug: Y , N_Count: 5051 , OK_Count: 5000, Abort Rate: 0.010
Round: 26, Time: 147303ms, Checking Time: 688ms, Bug: Y , N_Count: 5086 , OK_Count: 5000, Abort Rate: 0.017
Round: 27, Time: 76709ms, Checking Time: 631ms, Bug: N , N_Count: 5031 , OK_Count: 5002, Abort Rate: 0.006
Round: 28, Time: 117397ms, Checking Time: 749ms, Bug: Y , N_Count: 5069 , OK_Count: 5000, Abort Rate: 0.014
Round: 29, Time: 95633ms, Checking Time: 664ms, Bug: Y , N_Count: 5052 , OK_Count: 5000, Abort Rate: 0.010
Round: 30, Time: 91012ms, Checking Time: 754ms, Bug: N , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 31, Time: 102793ms, Checking Time: 629ms, Bug: N , N_Count: 5057 , OK_Count: 5000, Abort Rate: 0.011
Round: 32, Time: 133177ms, Checking Time: 649ms, Bug: Y , N_Count: 5064 , OK_Count: 5000, Abort Rate: 0.013
Round: 33, Time: 96145ms, Checking Time: 665ms, Bug: Y , N_Count: 5050 , OK_Count: 5001, Abort Rate: 0.010
Round: 34, Time: 114927ms, Checking Time: 791ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 35, Time: 106589ms, Checking Time: 4660ms, Bug: Y , N_Count: 5052 , OK_Count: 5000, Abort Rate: 0.010
Round: 36, Time: 105050ms, Checking Time: 768ms, Bug: Y , N_Count: 5055 , OK_Count: 5000, Abort Rate: 0.011
Round: 37, Time: 84573ms, Checking Time: 713ms, Bug: N , N_Count: 5040 , OK_Count: 5000, Abort Rate: 0.008
Round: 38, Time: 96376ms, Checking Time: 655ms, Bug: N , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 39, Time: 124569ms, Checking Time: 689ms, Bug: Y , N_Count: 5049 , OK_Count: 5000, Abort Rate: 0.010
Round: 40, Time: 106791ms, Checking Time: 681ms, Bug: N , N_Count: 5057 , OK_Count: 5000, Abort Rate: 0.011
Round: 41, Time: 122854ms, Checking Time: 615ms, Bug: N , N_Count: 5077 , OK_Count: 5001, Abort Rate: 0.015
Round: 42, Time: 113531ms, Checking Time: 711ms, Bug: Y , N_Count: 5068 , OK_Count: 5000, Abort Rate: 0.014
Round: 43, Time: 91607ms, Checking Time: 1880ms, Bug: Y , N_Count: 5044 , OK_Count: 5000, Abort Rate: 0.009
Round: 44, Time: 90671ms, Checking Time: 638ms, Bug: N , N_Count: 5042 , OK_Count: 5000, Abort Rate: 0.008
Round: 45, Time: 108307ms, Checking Time: 679ms, Bug: Y , N_Count: 5059 , OK_Count: 5000, Abort Rate: 0.012
Round: 46, Time: 76128ms, Checking Time: 646ms, Bug: N , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 47, Time: 85275ms, Checking Time: 725ms, Bug: Y , N_Count: 5037 , OK_Count: 5000, Abort Rate: 0.007
Round: 48, Time: 94176ms, Checking Time: 642ms, Bug: N , N_Count: 5045 , OK_Count: 5000, Abort Rate: 0.009
Round: 49, Time: 112301ms, Checking Time: 638ms, Bug: Y , N_Count: 5064 , OK_Count: 5000, Abort Rate: 0.013
Round: 50, Time: 100651ms, Checking Time: 679ms, Bug: N , N_Count: 5025 , OK_Count: 5000, Abort Rate: 0.005
=======================
Total Run Time: 5321478ms, Total Checking Time: 48862ms
Bug / Total: 29/50

max_txn_length: 8
=======================
Round: 1, Time: 113021ms, Checking Time: 680ms, Bug: N , N_Count: 5048 , OK_Count: 5000, Abort Rate: 0.010
Round: 2, Time: 89864ms, Checking Time: 741ms, Bug: N , N_Count: 5040 , OK_Count: 5000, Abort Rate: 0.008
Round: 3, Time: 92932ms, Checking Time: 689ms, Bug: N , N_Count: 5047 , OK_Count: 5000, Abort Rate: 0.009
