Run with txn_num: 1000, test_count: 50
max_txn_length: 4
=======================
Round: 1, Time: 13324ms, Checking Time: 504ms, Bug: N , N_Count: 2480 , OK_Count: 1002, Abort Rate: 0.596
Round: 2, Time: 13258ms, Checking Time: 574ms, Bug: N , N_Count: 2484 , OK_Count: 1004, Abort Rate: 0.596
Round: 3, Time: 13498ms, Checking Time: 634ms, Bug: Y , N_Count: 2492 , OK_Count: 1002, Abort Rate: 0.598
Round: 4, Time: 12792ms, Checking Time: 555ms, Bug: N , N_Count: 2518 , OK_Count: 1004, Abort Rate: 0.601
Round: 5, Time: 13039ms, Checking Time: 616ms, Bug: Y , N_Count: 2442 , OK_Count: 1005, Abort Rate: 0.588
Round: 6, Time: 12656ms, Checking Time: 659ms, Bug: Y , N_Count: 2393 , OK_Count: 1005, Abort Rate: 0.580
Round: 7, Time: 14022ms, Checking Time: 678ms, Bug: Y , N_Count: 2490 , OK_Count: 1005, Abort Rate: 0.596
Round: 8, Time: 13713ms, Checking Time: 612ms, Bug: N , N_Count: 2540 , OK_Count: 1006, Abort Rate: 0.604
Round: 9, Time: 13178ms, Checking Time: 604ms, Bug: N , N_Count: 2620 , OK_Count: 1003, Abort Rate: 0.617
Round: 10, Time: 13474ms, Checking Time: 651ms, Bug: Y , N_Count: 2491 , OK_Count: 1003, Abort Rate: 0.597
Round: 11, Time: 13017ms, Checking Time: 624ms, Bug: Y , N_Count: 2606 , OK_Count: 1003, Abort Rate: 0.615
Round: 12, Time: 13256ms, Checking Time: 522ms, Bug: N , N_Count: 2514 , OK_Count: 1004, Abort Rate: 0.601
Round: 13, Time: 13074ms, Checking Time: 653ms, Bug: Y , N_Count: 2455 , OK_Count: 1002, Abort Rate: 0.592
Round: 14, Time: 12803ms, Checking Time: 561ms, Bug: Y , N_Count: 2366 , OK_Count: 1002, Abort Rate: 0.577
Round: 15, Time: 13344ms, Checking Time: 534ms, Bug: N , N_Count: 2553 , OK_Count: 1006, Abort Rate: 0.606
Round: 16, Time: 13529ms, Checking Time: 544ms, Bug: N , N_Count: 2525 , OK_Count: 1003, Abort Rate: 0.603
Round: 17, Time: 12985ms, Checking Time: 624ms, Bug: Y , N_Count: 2478 , OK_Count: 1005, Abort Rate: 0.594
Round: 18, Time: 13217ms, Checking Time: 546ms, Bug: N , N_Count: 2478 , OK_Count: 1002, Abort Rate: 0.596
Round: 19, Time: 12978ms, Checking Time: 627ms, Bug: Y , N_Count: 2468 , OK_Count: 1002, Abort Rate: 0.594
Round: 20, Time: 13671ms, Checking Time: 741ms, Bug: Y , N_Count: 2522 , OK_Count: 1003, Abort Rate: 0.602
