Run with txn_num: 5000, test_count: 50
max_txn_length: 2
=======================
Round: 49, Time: 98653ms, Checking Time: 466ms, Bug: N , N_Count: 2841 , OK_Count: 2800, Abort Rate: 0.014
Round: 50, Time: 106050ms, Checking Time: 385ms, Bug: Y , N_Count: 2600 , OK_Count: 2560, Abort Rate: 0.015
=======================
Total Run Time: 4638309ms, Total Checking Time: 63795ms
Bug / Total: 43/50

max_txn_length: 4
=======================
Round: 1, Time: 106769ms, Checking Time: 622ms, Bug: N , N_Count: 5031 , OK_Count: 5000, Abort Rate: 0.006
Round: 2, Time: 112821ms, Checking Time: 6784ms, Bug: Y , N_Count: 5028 , OK_Count: 5000, Abort Rate: 0.006
Round: 3, Time: 98925ms, Checking Time: 648ms, Bug: Y , N_Count: 1936 , OK_Count: 1898, Abort Rate: 0.020
Round: 4, Time: 94263ms, Checking Time: 779ms, Bug: Y , N_Count: 3850 , OK_Count: 3810, Abort Rate: 0.010
Round: 5, Time: 81146ms, Checking Time: 965ms, Bug: Y , N_Count: 4094 , OK_Count: 4054, Abort Rate: 0.010
Round: 6, Time: 110071ms, Checking Time: 718ms, Bug: Y , N_Count: 4767 , OK_Count: 4731, Abort Rate: 0.008
Round: 7, Time: 108782ms, Checking Time: 348ms, Bug: N , N_Count: 2292 , OK_Count: 2253, Abort Rate: 0.017
Round: 8, Time: 94679ms, Checking Time: 465ms, Bug: Y , N_Count: 3080 , OK_Count: 3043, Abort Rate: 0.012
Round: 9, Time: 78441ms, Checking Time: 611ms, Bug: Y , N_Count: 2766 , OK_Count: 2729, Abort Rate: 0.013
Round: 10, Time: 81835ms, Checking Time: 627ms, Bug: Y , N_Count: 4289 , OK_Count: 4251, Abort Rate: 0.009
Round: 11, Time: 91876ms, Checking Time: 737ms, Bug: Y , N_Count: 5034 , OK_Count: 5000, Abort Rate: 0.007
Round: 12, Time: 108589ms, Checking Time: 375ms, Bug: N , N_Count: 2142 , OK_Count: 2100, Abort Rate: 0.020
Round: 13, Time: 93942ms, Checking Time: 477ms, Bug: Y , N_Count: 2273 , OK_Count: 2237, Abort Rate: 0.016
Round: 14, Time: 80420ms, Checking Time: 409ms, Bug: N , N_Count: 2268 , OK_Count: 2230, Abort Rate: 0.017
Round: 15, Time: 71887ms, Checking Time: 748ms, Bug: Y , N_Count: 5027 , OK_Count: 5000, Abort Rate: 0.005
Round: 16, Time: 80486ms, Checking Time: 583ms, Bug: Y , N_Count: 3168 , OK_Count: 3135, Abort Rate: 0.010
Round: 17, Time: 97228ms, Checking Time: 617ms, Bug: Y , N_Count: 3388 , OK_Count: 3354, Abort Rate: 0.010
Round: 18, Time: 108613ms, Checking Time: 358ms, Bug: Y , N_Count: 2582 , OK_Count: 2541, Abort Rate: 0.016
Round: 19, Time: 94111ms, Checking Time: 576ms, Bug: N , N_Count: 3516 , OK_Count: 3478, Abort Rate: 0.011
Round: 20, Time: 93829ms, Checking Time: 514ms, Bug: Y , N_Count: 2702 , OK_Count: 2664, Abort Rate: 0.014
Round: 21, Time: 97660ms, Checking Time: 613ms, Bug: Y , N_Count: 3567 , OK_Count: 3534, Abort Rate: 0.009
Round: 22, Time: 97000ms, Checking Time: 978ms, Bug: Y , N_Count: 3680 , OK_Count: 3643, Abort Rate: 0.010
Round: 23, Time: 93431ms, Checking Time: 521ms, Bug: N , N_Count: 4191 , OK_Count: 4156, Abort Rate: 0.008
Round: 24, Time: 80493ms, Checking Time: 702ms, Bug: Y , N_Count: 4078 , OK_Count: 4043, Abort Rate: 0.009
Round: 25, Time: 94781ms, Checking Time: 506ms, Bug: N , N_Count: 3948 , OK_Count: 3913, Abort Rate: 0.009
Round: 26, Time: 108321ms, Checking Time: 761ms, Bug: Y , N_Count: 4071 , OK_Count: 4034, Abort Rate: 0.009
Round: 27, Time: 93786ms, Checking Time: 452ms, Bug: N , N_Count: 2850 , OK_Count: 2816, Abort Rate: 0.012
Round: 28, Time: 109965ms, Checking Time: 654ms, Bug: Y , N_Count: 3776 , OK_Count: 3736, Abort Rate: 0.011
Round: 29, Time: 93712ms, Checking Time: 434ms, Bug: N , N_Count: 3250 , OK_Count: 3213, Abort Rate: 0.011
Round: 30, Time: 109825ms, Checking Time: 1854ms, Bug: Y , N_Count: 3872 , OK_Count: 3836, Abort Rate: 0.009
Round: 31, Time: 79625ms, Checking Time: 470ms, Bug: Y , N_Count: 3052 , OK_Count: 3013, Abort Rate: 0.013
Round: 32, Time: 81499ms, Checking Time: 357ms, Bug: Y , N_Count: 2536 , OK_Count: 2500, Abort Rate: 0.014
Round: 33, Time: 81055ms, Checking Time: 1107ms, Bug: Y , N_Count: 3867 , OK_Count: 3833, Abort Rate: 0.009
Round: 34, Time: 108980ms, Checking Time: 536ms, Bug: N , N_Count: 3208 , OK_Count: 3168, Abort Rate: 0.012
Round: 35, Time: 80584ms, Checking Time: 687ms, Bug: Y , N_Count: 4387 , OK_Count: 4352, Abort Rate: 0.008
Round: 36, Time: 81055ms, Checking Time: 741ms, Bug: Y , N_Count: 4351 , OK_Count: 4309, Abort Rate: 0.010
Round: 37, Time: 94634ms, Checking Time: 592ms, Bug: N , N_Count: 3625 , OK_Count: 3591, Abort Rate: 0.009
Round: 38, Time: 81287ms, Checking Time: 486ms, Bug: Y , N_Count: 2790 , OK_Count: 2754, Abort Rate: 0.013
Round: 39, Time: 94455ms, Checking Time: 455ms, Bug: N , N_Count: 2680 , OK_Count: 2644, Abort Rate: 0.013
Round: 40, Time: 96308ms, Checking Time: 636ms, Bug: N , N_Count: 4775 , OK_Count: 4737, Abort Rate: 0.008
Round: 41, Time: 95598ms, Checking Time: 624ms, Bug: Y , N_Count: 3870 , OK_Count: 3835, Abort Rate: 0.009
Round: 42, Time: 93752ms, Checking Time: 419ms, Bug: N , N_Count: 2932 , OK_Count: 2891, Abort Rate: 0.014
Round: 43, Time: 94758ms, Checking Time: 538ms, Bug: Y , N_Count: 3774 , OK_Count: 3738, Abort Rate: 0.010
Round: 44, Time: 79596ms, Checking Time: 747ms, Bug: Y , N_Count: 2979 , OK_Count: 2946, Abort Rate: 0.011
Round: 45, Time: 93972ms, Checking Time: 381ms, Bug: N , N_Count: 2244 , OK_Count: 2205, Abort Rate: 0.017
Round: 46, Time: 109663ms, Checking Time: 681ms, Bug: Y , N_Count: 3739 , OK_Count: 3701, Abort Rate: 0.010
Round: 47, Time: 71599ms, Checking Time: 641ms, Bug: N , N_Count: 5027 , OK_Count: 5000, Abort Rate: 0.005
Round: 48, Time: 95862ms, Checking Time: 612ms, Bug: N , N_Count: 4038 , OK_Count: 4005, Abort Rate: 0.008
Round: 49, Time: 93776ms, Checking Time: 466ms, Bug: Y , N_Count: 2682 , OK_Count: 2644, Abort Rate: 0.014
Round: 50, Time: 94817ms, Checking Time: 457ms, Bug: Y , N_Count: 2598 , OK_Count: 2557, Abort Rate: 0.016
=======================
Total Run Time: 4670562ms, Total Checking Time: 37069ms
Bug / Total: 33/50

max_txn_length: 6
=======================
Round: 1, Time: 94956ms, Checking Time: 708ms, Bug: N , N_Count: 4879 , OK_Count: 4844, Abort Rate: 0.007
Round: 2, Time: 96248ms, Checking Time: 601ms, Bug: N , N_Count: 4035 , OK_Count: 4001, Abort Rate: 0.008
Round: 3, Time: 95438ms, Checking Time: 735ms, Bug: N , N_Count: 4413 , OK_Count: 4381, Abort Rate: 0.007
Round: 4, Time: 82051ms, Checking Time: 519ms, Bug: N , N_Count: 3115 , OK_Count: 3080, Abort Rate: 0.011
Round: 5, Time: 79816ms, Checking Time: 724ms, Bug: Y , N_Count: 3693 , OK_Count: 3659, Abort Rate: 0.009
Round: 6, Time: 80222ms, Checking Time: 619ms, Bug: N , N_Count: 4061 , OK_Count: 4030, Abort Rate: 0.008
Round: 7, Time: 80097ms, Checking Time: 425ms, Bug: N , N_Count: 2756 , OK_Count: 2722, Abort Rate: 0.012
Round: 8, Time: 86171ms, Checking Time: 794ms, Bug: N , N_Count: 5029 , OK_Count: 5000, Abort Rate: 0.006
Round: 9, Time: 81171ms, Checking Time: 869ms, Bug: Y , N_Count: 4207 , OK_Count: 4170, Abort Rate: 0.009
Round: 10, Time: 95399ms, Checking Time: 887ms, Bug: Y , N_Count: 3861 , OK_Count: 3828, Abort Rate: 0.009
Round: 11, Time: 108718ms, Checking Time: 591ms, Bug: N , N_Count: 4833 , OK_Count: 4799, Abort Rate: 0.007
Round: 12, Time: 94871ms, Checking Time: 557ms, Bug: Y , N_Count: 2613 , OK_Count: 2579, Abort Rate: 0.013
Round: 13, Time: 96276ms, Checking Time: 652ms, Bug: N , N_Count: 3423 , OK_Count: 3389, Abort Rate: 0.010
Round: 14, Time: 80603ms, Checking Time: 755ms, Bug: Y , N_Count: 3015 , OK_Count: 2983, Abort Rate: 0.011
Round: 15, Time: 94861ms, Checking Time: 576ms, Bug: N , N_Count: 3492 , OK_Count: 3456, Abort Rate: 0.010
Round: 16, Time: 93468ms, Checking Time: 463ms, Bug: N , N_Count: 2341 , OK_Count: 2307, Abort Rate: 0.015
Round: 17, Time: 79816ms, Checking Time: 678ms, Bug: N , N_Count: 3074 , OK_Count: 3041, Abort Rate: 0.011
Round: 18, Time: 94824ms, Checking Time: 746ms, Bug: Y , N_Count: 4349 , OK_Count: 4313, Abort Rate: 0.008
Round: 19, Time: 109335ms, Checking Time: 658ms, Bug: N , N_Count: 3600 , OK_Count: 3567, Abort Rate: 0.009
Round: 20, Time: 106800ms, Checking Time: 592ms, Bug: Y , N_Count: 3001 , OK_Count: 2966, Abort Rate: 0.012
Round: 21, Time: 79340ms, Checking Time: 607ms, Bug: Y , N_Count: 2372 , OK_Count: 2337, Abort Rate: 0.015
Round: 22, Time: 94312ms, Checking Time: 647ms, Bug: Y , N_Count: 3499 , OK_Count: 3462, Abort Rate: 0.011
Round: 23, Time: 96691ms, Checking Time: 813ms, Bug: Y , N_Count: 3750 , OK_Count: 3714, Abort Rate: 0.010
Round: 24, Time: 94599ms, Checking Time: 489ms, Bug: N , N_Count: 3049 , OK_Count: 3012, Abort Rate: 0.012
Round: 25, Time: 94180ms, Checking Time: 645ms, Bug: Y , N_Count: 2618 , OK_Count: 2587, Abort Rate: 0.012
Round: 26, Time: 111064ms, Checking Time: 673ms, Bug: N , N_Count: 3756 , OK_Count: 3722, Abort Rate: 0.009
Round: 27, Time: 94126ms, Checking Time: 421ms, Bug: Y , N_Count: 2170 , OK_Count: 2133, Abort Rate: 0.017
Round: 28, Time: 95810ms, Checking Time: 375ms, Bug: Y , N_Count: 2318 , OK_Count: 2284, Abort Rate: 0.015
Round: 29, Time: 79996ms, Checking Time: 654ms, Bug: N , N_Count: 4429 , OK_Count: 4396, Abort Rate: 0.007
Round: 30, Time: 80986ms, Checking Time: 674ms, Bug: N , N_Count: 3786 , OK_Count: 3751, Abort Rate: 0.009
Round: 31, Time: 93801ms, Checking Time: 507ms, Bug: Y , N_Count: 2707 , OK_Count: 2674, Abort Rate: 0.012
Round: 32, Time: 80148ms, Checking Time: 598ms, Bug: N , N_Count: 3304 , OK_Count: 3269, Abort Rate: 0.011
Round: 33, Time: 96113ms, Checking Time: 676ms, Bug: Y , N_Count: 3377 , OK_Count: 3344, Abort Rate: 0.010
Round: 34, Time: 93897ms, Checking Time: 484ms, Bug: N , N_Count: 2087 , OK_Count: 2054, Abort Rate: 0.016
Round: 35, Time: 94620ms, Checking Time: 627ms, Bug: N , N_Count: 3381 , OK_Count: 3349, Abort Rate: 0.009
Round: 36, Time: 95373ms, Checking Time: 580ms, Bug: N , N_Count: 4001 , OK_Count: 3967, Abort Rate: 0.008
Round: 37, Time: 96090ms, Checking Time: 639ms, Bug: N , N_Count: 3718 , OK_Count: 3682, Abort Rate: 0.010
Round: 38, Time: 100503ms, Checking Time: 860ms, Bug: Y , N_Count: 5023 , OK_Count: 4986, Abort Rate: 0.007
Round: 39, Time: 94417ms, Checking Time: 739ms, Bug: Y , N_Count: 3323 , OK_Count: 3285, Abort Rate: 0.011
Round: 40, Time: 109996ms, Checking Time: 654ms, Bug: Y , N_Count: 3080 , OK_Count: 3042, Abort Rate: 0.012
Round: 41, Time: 109052ms, Checking Time: 627ms, Bug: N , N_Count: 3239 , OK_Count: 3202, Abort Rate: 0.011
Round: 42, Time: 107819ms, Checking Time: 567ms, Bug: N , N_Count: 2730 , OK_Count: 2698, Abort Rate: 0.012
Round: 43, Time: 95538ms, Checking Time: 613ms, Bug: Y , N_Count: 3148 , OK_Count: 3112, Abort Rate: 0.011
Round: 44, Time: 96666ms, Checking Time: 591ms, Bug: Y , N_Count: 4164 , OK_Count: 4126, Abort Rate: 0.009
Round: 45, Time: 94107ms, Checking Time: 540ms, Bug: N , N_Count: 3370 , OK_Count: 3334, Abort Rate: 0.011
Round: 46, Time: 76873ms, Checking Time: 791ms, Bug: Y , N_Count: 5031 , OK_Count: 5001, Abort Rate: 0.006
Round: 47, Time: 81087ms, Checking Time: 638ms, Bug: Y , N_Count: 2640 , OK_Count: 2605, Abort Rate: 0.013
Round: 48, Time: 94339ms, Checking Time: 570ms, Bug: N , N_Count: 4409 , OK_Count: 4374, Abort Rate: 0.008
Round: 49, Time: 94945ms, Checking Time: 556ms, Bug: Y , N_Count: 3557 , OK_Count: 3520, Abort Rate: 0.010
