r(2,0,7,0)
r(3,0,7,0)
r(0,0,3,1)
r(3,0,10,2)
r(0,0,10,2)
r(6,0,14,3)
r(5,0,14,3)
w(5,2,14,3)
r(4,0,17,4)
r(4,0,17,4)
w(4,5,17,4)
r(1,0,27,5)
r(1,0,27,5)
w(1,5,27,5)
r(0,0,2,6)
w(0,1,2,6)
r(2,0,16,7)
r(3,0,16,7)
w(3,4,16,7)
r(6,0,15,8)
r(3,0,15,8)
w(6,2,15,8)
r(2,0,22,9)
w(2,3,22,9)
r(1,0,22,9)
r(3,0,14,10)
r(6,0,14,10)
r(1,5,27,11)
r(4,5,27,11)
r(1,5,15,12)
r(0,1,15,12)
r(5,2,2,13)
r(6,2,2,13)
r(6,2,7,14)
r(4,5,29,15)
r(5,2,29,15)
r(3,4,22,16)
w(3,6,22,16)
r(2,3,27,17)
r(5,2,8,18)
r(5,2,8,18)
w(5,4,8,18)
r(6,2,1,19)
w(6,7,1,19)
r(6,7,1,19)
r(6,2,13,20)
r(2,3,13,20)
w(2,6,13,20)
r(1,5,5,21)
r(0,1,5,21)
w(1,10,5,21)
r(4,5,24,22)
w(4,8,24,22)
r(4,8,24,22)
r(6,2,17,23)
r(3,6,17,23)
w(3,11,17,23)
r(6,7,15,24)
r(6,7,20,25)
r(5,4,5,26)
w(5,9,5,26)
r(5,9,5,26)
r(1,10,9,27)
w(1,15,9,27)
r(1,15,9,27)
r(2,6,0,28)
w(2,8,0,28)
r(2,8,0,28)
r(2,6,1,29)
r(0,1,1,29)
w(0,6,1,29)
r(3,11,7,30)
r(3,11,7,30)
w(3,15,7,30)
r(6,7,17,31)
w(6,11,17,31)
r(2,6,17,31)
r(4,8,15,32)
w(4,13,15,32)
r(0,1,15,32)
r(5,9,0,33)
r(1,15,21,34)
r(0,6,12,35)
r(3,15,16,36)
r(2,8,16,36)
r(5,9,20,37)
w(5,12,20,37)
r(1,15,10,38)
r(1,15,10,38)
w(1,17,10,38)
r(2,8,7,39)
w(2,10,7,39)
r(6,11,20,40)
r(0,6,15,41)
r(5,12,15,41)
r(3,15,9,42)
w(3,20,9,42)
r(6,7,9,42)
r(5,12,27,43)
r(0,6,27,43)
r(6,11,12,44)
r(5,12,12,44)
r(0,6,4,45)
w(0,10,4,45)
r(2,8,4,45)
r(6,11,23,46)
r(3,15,23,46)
w(6,16,23,46)
r(0,10,11,47)
r(2,10,11,47)
r(2,10,20,48)
r(5,12,20,48)
r(5,12,7,49)
w(5,14,7,49)
r(1,17,10,50)
w(1,18,10,50)
r(2,10,10,50)
r(2,10,12,51)
r(5,12,12,51)
w(2,11,12,51)
r(0,10,25,52)
w(0,15,25,52)
r(0,15,25,52)
r(6,16,25,53)
r(2,11,12,54)
r(4,13,11,55)
r(5,14,28,56)
r(4,13,28,56)
r(2,11,8,57)
r(4,13,8,57)
r(3,20,20,58)
r(4,13,20,58)
r(0,10,5,59)
r(3,20,5,59)
w(3,23,5,59)
r(5,14,17,60)
w(5,16,17,60)
r(5,14,17,60)
r(4,13,23,61)
w(4,17,23,61)
r(4,17,23,61)
r(2,11,27,62)
r(6,16,27,62)
r(0,15,10,63)
w(0,20,10,63)
r(1,18,26,64)
r(3,20,26,64)
w(1,19,26,64)
r(2,11,25,65)
r(6,16,18,66)
w(6,20,18,66)
r(1,18,18,66)
r(2,11,13,67)
r(4,17,13,67)
r(3,23,27,68)
r(2,11,27,68)
r(3,23,11,69)
r(5,16,11,69)
r(0,20,25,70)
r(2,11,25,70)
r(5,16,10,71)
w(5,18,10,71)
r(1,19,15,72)
r(0,20,15,72)
r(3,23,2,73)
r(4,17,2,73)
r(3,23,29,74)
r(2,11,29,74)
