r(7,0,5,0)
r(8,0,5,0)
r(8,0,15,1)
r(9,0,15,1)
w(8,32,15,1)
r(9,0,10,2)
r(9,0,10,2)
w(9,21,10,2)
r(9,21,20,3)
w(9,41,20,3)
r(6,0,20,3)
w(6,42,20,3)
r(8,32,70,4)
w(8,142,70,4)
r(8,142,70,4)
r(6,42,55,5)
w(6,112,55,5)
r(8,142,55,5)
r(7,0,35,6)
r(7,0,35,6)
w(7,71,35,6)
r(9,41,55,7)
w(9,223,55,7)
r(8,142,70,8)
r(9,41,70,8)
w(8,222,70,8)
r(7,71,60,9)
r(9,223,55,10)
w(9,228,55,10)
r(6,112,55,10)
r(5,0,30,11)
w(5,61,30,11)
r(7,71,30,11)
w(7,62,30,11)
r(4,0,30,12)
r(8,222,30,12)
r(9,228,40,13)
w(9,82,40,13)
r(9,82,40,13)
r(7,62,40,14)
r(6,112,40,14)
w(7,256,40,14)
r(8,222,75,15)
r(7,256,75,15)
w(8,245,75,15)
w(7,246,75,15)
r(8,252,80,16)
w(8,234,80,16)
r(8,234,80,16)
r(9,82,30,17)
w(9,251,30,17)
r(8,245,30,17)
w(8,252,30,17)
r(9,251,5,18)
w(9,204,5,18)
r(7,246,5,18)
r(9,204,0,19)
r(5,61,0,19)
r(6,112,85,20)
w(6,216,85,20)
r(9,204,85,20)
r(9,204,80,21)
r(4,0,15,22)
w(4,208,15,22)
r(9,251,15,22)
r(8,231,15,23)
w(8,274,15,23)
r(8,274,15,23)
r(9,204,60,24)
r(2,0,0,25)
w(2,268,0,25)
r(2,268,0,25)
r(8,274,35,26)
w(8,226,35,26)
r(6,216,35,26)
r(8,234,70,27)
r(8,234,70,27)
w(8,231,70,27)
r(9,204,5,28)
r(8,231,5,28)
w(9,266,5,28)
r(9,266,65,29)
w(9,131,65,29)
r(5,61,55,30)
w(5,241,55,30)
r(6,216,55,30)
w(6,242,55,30)
r(7,246,95,31)
w(7,192,95,31)
r(7,192,95,31)
r(8,234,85,32)
r(9,204,85,32)
r(8,226,40,33)
w(8,258,40,33)
r(9,131,40,33)
r(9,131,0,34)
w(9,278,0,34)
r(9,278,0,34)
