Run with txn_num: 3000, test_count: 50
max_txn_length: 2
=======================
Round: 50, Time: 20422ms, Checking Time: 827ms, Bug: N , N_Count: 3952 , OK_Count: 3046, Abort Rate: 0.229
=======================
Total Run Time: 1066451ms, Total Checking Time: 42769ms
Bug / Total: 0/50

max_txn_length: 4
=======================
Round: 1, Time: 41596ms, Checking Time: 1555ms, Bug: Y , N_Count: 10869 , OK_Count: 3098, Abort Rate: 0.715
Round: 2, Time: 50318ms, Checking Time: 2011ms, Bug: N , N_Count: 15338 , OK_Count: 3097, Abort Rate: 0.798
Round: 3, Time: 56872ms, Checking Time: 1594ms, Bug: N , N_Count: 13398 , OK_Count: 3098, Abort Rate: 0.769
Round: 4, Time: 41612ms, Checking Time: 1566ms, Bug: N , N_Count: 12057 , OK_Count: 3097, Abort Rate: 0.743
Round: 5, Time: 44488ms, Checking Time: 1919ms, Bug: N , N_Count: 12968 , OK_Count: 3098, Abort Rate: 0.761
Round: 6, Time: 52678ms, Checking Time: 1713ms, Bug: Y , N_Count: 13216 , OK_Count: 3098, Abort Rate: 0.766
Round: 7, Time: 68370ms, Checking Time: 1762ms, Bug: Y , N_Count: 12417 , OK_Count: 3098, Abort Rate: 0.751
Round: 8, Time: 57174ms, Checking Time: 1517ms, Bug: N , N_Count: 12117 , OK_Count: 3096, Abort Rate: 0.744
Round: 9, Time: 43253ms, Checking Time: 1902ms, Bug: Y , N_Count: 12461 , OK_Count: 3098, Abort Rate: 0.751
Round: 10, Time: 42795ms, Checking Time: 1898ms, Bug: N , N_Count: 12653 , OK_Count: 3098, Abort Rate: 0.755
Round: 11, Time: 43410ms, Checking Time: 2140ms, Bug: Y , N_Count: 14425 , OK_Count: 3098, Abort Rate: 0.785
Round: 12, Time: 45945ms, Checking Time: 1938ms, Bug: Y , N_Count: 13417 , OK_Count: 3097, Abort Rate: 0.769
Round: 13, Time: 47273ms, Checking Time: 1622ms, Bug: Y , N_Count: 12300 , OK_Count: 3096, Abort Rate: 0.748
Round: 14, Time: 51427ms, Checking Time: 2036ms, Bug: N , N_Count: 13270 , OK_Count: 3098, Abort Rate: 0.767
Round: 15, Time: 45017ms, Checking Time: 1663ms, Bug: N , N_Count: 11681 , OK_Count: 3098, Abort Rate: 0.735
Round: 16, Time: 53017ms, Checking Time: 1862ms, Bug: N , N_Count: 14819 , OK_Count: 3097, Abort Rate: 0.791
Round: 17, Time: 51951ms, Checking Time: 1793ms, Bug: Y , N_Count: 11975 , OK_Count: 3098, Abort Rate: 0.741
Round: 18, Time: 48763ms, Checking Time: 1865ms, Bug: N , N_Count: 14035 , OK_Count: 3098, Abort Rate: 0.779
Round: 19, Time: 48497ms, Checking Time: 1672ms, Bug: N , N_Count: 12636 , OK_Count: 3098, Abort Rate: 0.755
Round: 20, Time: 45385ms, Checking Time: 1674ms, Bug: N , N_Count: 12287 , OK_Count: 3091, Abort Rate: 0.748
Round: 21, Time: 54035ms, Checking Time: 1685ms, Bug: N , N_Count: 14043 , OK_Count: 3098, Abort Rate: 0.779
Round: 22, Time: 47281ms, Checking Time: 1859ms, Bug: N , N_Count: 13666 , OK_Count: 3096, Abort Rate: 0.773
Round: 23, Time: 53104ms, Checking Time: 1790ms, Bug: Y , N_Count: 13307 , OK_Count: 3096, Abort Rate: 0.767
