r(9,0,24,0)
r(9,0,28,1)
w(9,29,28,1)
r(1,0,28,1)
w(1,30,28,1)
r(3,0,9,2)
r(4,0,12,3)
w(4,36,12,3)
r(4,36,12,3)
r(0,0,34,4)
w(0,76,34,4)
r(4,36,34,4)
r(1,0,16,5)
r(8,0,10,6)
r(5,0,18,7)
r(4,36,28,8)
r(3,0,23,9)
r(5,0,13,10)
r(7,0,13,10)
r(2,0,31,11)
r(2,0,31,11)
w(2,43,31,11)
r(6,0,41,12)
w(6,52,41,12)
r(6,52,41,12)
r(9,0,29,13)
r(5,0,0,14)
r(1,30,0,14)
w(1,90,0,14)
r(8,0,22,15)
r(9,0,22,15)
r(6,52,37,16)
r(9,29,37,16)
r(4,36,21,17)
w(4,66,21,17)
r(7,0,21,17)
r(0,76,11,18)
w(0,96,11,18)
r(0,96,11,18)
r(0,96,0,19)
r(2,43,2,20)
r(8,0,23,21)
r(8,0,23,21)
w(8,107,23,21)
r(7,0,16,22)
w(7,111,16,22)
r(3,0,16,22)
w(3,112,16,22)
r(5,0,10,23)
w(5,119,10,23)
r(0,96,37,24)
r(9,29,37,24)
r(6,52,6,25)
r(4,66,6,25)
w(6,126,6,25)
r(8,107,39,26)
w(8,128,39,26)
r(8,128,39,26)
r(4,66,14,27)
r(8,128,14,27)
r(7,111,34,28)
w(7,132,34,28)
r(4,66,34,28)
r(1,90,24,29)
w(1,145,24,29)
r(1,90,11,30)
r(0,96,11,30)
r(8,128,47,31)
r(0,96,47,31)
w(0,148,47,31)
r(4,66,0,32)
r(9,29,0,32)
r(1,145,3,33)
r(2,43,3,33)
w(2,150,3,33)
w(1,149,3,33)
r(3,112,28,34)
w(3,164,28,34)
r(7,132,28,34)
r(9,29,17,35)
w(9,160,17,35)
r(9,160,17,35)
r(7,132,34,36)
r(0,148,34,36)
r(5,119,16,37)
r(6,126,16,37)
w(6,158,16,37)
w(5,157,16,37)
r(7,132,24,38)
r(3,164,24,38)
w(7,179,24,38)
w(3,180,24,38)
r(7,179,48,39)
r(1,149,34,40)
r(0,148,9,41)
w(0,183,9,41)
r(0,183,39,42)
r(1,149,2,43)
r(6,158,2,43)
w(6,182,2,43)
r(9,160,35,44)
r(4,66,35,44)
r(0,183,19,45)
w(0,209,19,45)
r(0,209,13,46)
r(2,150,46,47)
w(2,199,46,47)
r(3,180,46,47)
w(3,200,46,47)
r(6,182,2,48)
r(7,179,5,49)
r(5,157,5,49)
r(2,199,28,50)
r(7,179,28,50)
w(7,230,28,50)
r(7,230,24,51)
r(0,209,10,52)
r(5,157,43,53)
w(5,240,43,53)
r(5,240,43,53)
r(3,200,9,54)
w(3,246,9,54)
r(8,128,9,54)
r(7,230,47,55)
r(0,209,47,55)
w(0,258,47,55)
w(7,257,47,55)
r(6,182,25,56)
r(9,160,25,56)
w(6,262,25,56)
r(0,258,27,57)
r(9,160,27,57)
w(9,276,27,57)
r(8,128,34,58)
r(9,276,34,58)
r(7,257,24,59)
w(7,272,24,59)
r(7,272,24,59)
r(8,128,18,60)
r(7,272,23,61)
r(0,258,23,61)
w(7,298,23,61)
r(9,276,41,62)
r(6,262,41,62)
w(9,287,41,62)
w(6,288,41,62)
r(4,66,45,63)
w(4,304,45,63)
r(4,304,45,63)
r(3,246,41,64)
w(3,327,41,64)
r(9,287,19,65)
r(3,327,19,65)
r(2,199,0,66)
r(3,327,37,67)
r(8,128,1,68)
r(8,128,1,68)
w(8,333,1,68)
r(3,327,32,69)
w(3,339,32,69)
r(4,304,32,69)
w(4,340,32,69)
r(0,258,49,70)
r(1,149,11,71)
r(6,288,16,72)
r(1,149,16,72)
w(1,338,16,72)
w(6,337,16,72)
r(1,338,39,73)
r(5,240,18,74)
r(0,258,18,74)
r(1,338,44,75)
r(4,340,44,75)
r(5,240,35,76)
r(0,258,3,77)
w(0,353,3,77)
r(2,199,25,78)
r(2,199,25,78)
w(2,357,25,78)
r(1,338,33,79)
r(1,338,33,79)
w(1,375,33,79)
r(3,339,27,80)
r(2,357,17,81)
r(8,333,17,81)
r(9,287,16,82)
r(0,353,16,82)
w(0,412,16,82)
r(1,375,13,83)
r(0,412,13,83)
r(6,337,11,84)
w(6,421,11,84)
r(2,357,24,85)
r(2,357,24,85)
w(2,429,24,85)
r(2,357,37,86)
r(4,340,37,86)
r(1,375,39,87)
r(1,375,38,88)
w(1,446,38,88)
r(6,421,38,88)
r(2,429,19,89)
r(1,375,19,89)
r(5,240,41,90)
r(0,412,23,91)
r(3,339,23,91)
r(3,339,31,92)
r(9,287,8,93)
w(9,436,8,93)
r(4,340,8,93)
r(9,436,9,94)
r(5,240,16,95)
r(8,333,48,96)
r(4,340,32,97)
r(1,446,44,98)
r(2,429,15,99)
r(3,339,15,99)
r(5,240,36,100)
r(6,421,43,101)
r(1,446,43,101)
r(9,436,36,102)
r(8,333,22,103)
r(9,436,9,104)
r(8,333,43,105)
r(2,429,22,106)
r(6,421,22,106)
r(7,298,18,107)
r(0,412,11,108)
r(7,298,36,109)
r(5,240,34,110)
r(8,333,39,111)
r(5,240,3,112)
r(7,298,23,113)
r(0,412,34,114)
r(6,421,12,115)
r(5,240,12,115)
r(7,298,12,116)
r(5,240,12,116)
r(8,333,15,117)
r(2,429,34,118)
r(4,340,13,119)
w(4,449,13,119)
r(5,240,6,120)
r(6,421,6,120)
w(5,461,6,120)
w(6,462,6,120)
r(0,412,30,121)
w(0,504,30,121)
r(0,504,30,121)
r(8,333,19,122)
r(3,339,13,123)
w(3,1121,13,123)
r(8,333,33,124)
r(5,461,35,125)
r(7,298,35,125)
r(9,436,17,126)
r(4,449,17,126)
r(1,446,6,127)
r(5,461,6,127)
w(5,1124,6,127)
w(1,1123,6,127)
r(2,429,22,128)
r(2,429,22,128)
w(2,1135,22,128)
r(9,436,40,129)
w(9,1140,40,129)
r(9,1140,40,129)
r(2,1135,39,130)
r(3,1121,39,130)
r(4,449,41,131)
r(9,1140,41,131)
w(4,1164,41,131)
r(9,1140,7,132)
r(7,298,7,132)
r(0,504,16,133)
r(6,462,16,133)
w(6,1162,16,133)
w(0,1161,16,133)
r(2,1135,9,134)
r(7,298,9,134)
r(6,1162,48,135)
r(4,1164,3,136)
r(5,1124,3,136)
r(6,1162,47,137)
w(6,1186,47,137)
r(3,1121,47,137)
r(1,1123,24,138)
r(8,333,24,138)
r(1,1123,2,139)
r(5,1124,3,140)
r(8,333,10,141)
r(3,1121,10,141)
r(1,1123,17,142)
r(2,1135,7,143)
w(2,1212,7,143)
r(2,1212,7,143)
r(5,1124,36,144)
r(9,1140,36,144)
w(5,1220,36,144)
r(7,298,6,145)
r(5,1124,6,145)
r(2,1212,29,146)
r(6,1186,29,146)
r(8,333,24,147)
r(8,333,24,147)
w(8,1239,24,147)
r(4,1164,33,148)
r(4,1164,33,148)
w(4,1249,33,148)
r(5,1220,0,149)
w(5,1256,0,149)
r(5,1256,0,149)
r(6,1186,30,150)
r(1,1123,30,150)
r(3,1121,7,151)
r(4,1249,7,151)
r(5,1256,45,152)
r(7,298,49,153)
r(8,1239,2,154)
r(0,1161,2,154)
w(0,1280,2,154)
r(9,1140,31,155)
r(8,1239,1,156)
r(6,1186,1,156)
r(3,1121,38,157)
r(1,1123,38,157)
w(3,1288,38,157)
r(1,1123,3,158)
w(1,1313,3,158)
r(5,1256,31,159)
r(0,1280,12,160)
r(1,1313,11,161)
r(2,1212,39,162)
r(7,298,18,163)
r(0,1280,31,164)
r(9,1140,31,164)
r(1,1313,8,165)
r(6,1186,8,165)
r(0,1280,33,166)
w(0,1338,33,166)
r(0,1338,33,166)
r(4,1249,40,167)
r(1,1313,17,168)
r(6,1186,17,168)
r(2,1212,16,169)
w(2,1356,16,169)
r(1,1313,16,169)
r(9,1140,1,170)
r(5,1256,1,170)
w(9,1426,1,170)
r(2,1356,36,171)
w(2,1441,36,171)
r(1,1313,42,172)
r(6,1186,47,173)
r(1,1313,47,173)
w(1,1444,47,173)
w(6,1443,47,173)
r(4,1249,9,174)
w(4,1447,9,174)
r(0,1338,0,175)
w(0,1446,0,175)
r(0,1446,0,175)
r(9,1426,15,176)
r(8,1239,40,177)
r(9,1426,40,177)
r(3,1288,6,178)
r(2,1441,18,179)
w(2,1472,18,179)
r(8,1239,18,179)
r(0,1446,23,180)
r(3,1288,23,180)
r(1,1444,29,181)
w(1,1474,29,181)
r(3,1288,29,181)
r(0,1446,7,182)
r(0,1446,11,183)
r(4,1447,11,183)
r(4,1447,19,184)
r(9,1426,3,185)
r(7,298,3,185)
w(7,1496,3,185)
r(0,1446,22,186)
r(8,1239,22,186)
r(9,1426,6,187)
r(6,1443,6,187)
r(9,1426,38,188)
r(9,1426,38,188)
w(9,1513,38,188)
r(1,1474,21,189)
r(9,1513,26,190)
r(5,1256,26,190)
r(3,1288,1,191)
r(2,1472,24,192)
r(3,1288,24,192)
r(2,1472,28,193)
w(2,1527,28,193)
r(3,1288,28,193)
w(3,1528,28,193)
r(5,1256,4,194)
w(5,1516,4,194)
r(5,1516,4,194)
r(0,1446,2,195)
r(7,1496,36,196)
r(9,1513,3,197)
r(8,1239,3,197)
r(4,1447,33,198)
r(4,1447,17,199)
r(2,1527,18,200)
r(4,1447,18,200)
r(9,1513,34,201)
r(4,1447,34,201)
r(0,1446,41,202)
w(0,1564,41,202)
r(0,1564,41,202)
r(5,1516,19,203)
r(2,1527,19,203)
r(2,1527,22,204)
w(2,1577,22,204)
r(5,1516,22,204)
w(5,1578,22,204)
r(7,1496,33,205)
r(6,1443,7,206)
r(8,1239,7,206)
r(3,1528,27,207)
r(4,1447,27,207)
w(3,1647,27,207)
