r(9,0,0,0)
w(9,3,0,0)
r(8,0,0,0)
w(8,4,0,0)
r(8,4,0,1)
w(8,33,0,1)
r(9,3,0,2)
w(9,35,0,2)
r(9,35,10,3)
r(8,33,10,3)
w(8,22,10,3)
w(9,21,10,3)
r(8,22,0,4)
w(8,37,0,4)
r(9,21,5,5)
r(8,37,5,5)
w(8,12,5,5)
w(9,11,5,5)
r(9,11,10,6)
w(9,40,10,6)
r(9,40,10,6)
r(7,0,0,7)
w(7,41,0,7)
r(9,40,5,8)
w(9,43,5,8)
r(7,41,5,8)
w(7,44,5,8)
r(8,12,10,9)
w(8,45,10,9)
r(9,43,0,10)
r(7,44,0,10)
w(9,48,0,10)
r(8,45,5,11)
r(9,48,5,11)
w(8,49,5,11)
w(9,50,5,11)
r(7,44,10,12)
r(7,44,10,12)
w(7,51,10,12)
r(3,0,5,13)
r(8,49,0,14)
w(8,53,0,14)
r(7,51,10,15)
w(7,58,10,15)
r(9,50,10,15)
r(9,50,5,16)
r(8,53,5,16)
w(9,60,5,16)
r(9,62,10,17)
r(8,53,10,17)
w(8,64,10,17)
r(9,60,0,18)
r(4,0,0,18)
w(9,62,0,18)
r(4,0,5,19)
r(4,0,5,19)
w(4,65,5,19)
r(9,62,10,20)
w(9,67,10,20)
r(5,0,0,21)
w(5,70,0,21)
r(9,62,0,21)
r(1,0,5,22)
r(3,0,5,22)
w(1,71,5,22)
w(3,72,5,22)
r(9,67,10,23)
w(9,73,10,23)
r(8,64,10,23)
w(8,74,10,23)
r(6,0,0,24)
r(9,67,0,24)
r(6,0,5,25)
r(6,0,5,25)
w(6,77,5,25)
r(8,74,10,26)
r(7,58,10,26)
w(8,80,10,26)
r(9,73,0,27)
w(9,81,0,27)
r(5,70,5,28)
r(8,80,5,28)
w(8,84,5,28)
r(9,81,10,29)
r(4,65,10,29)
w(4,86,10,29)
r(9,81,0,30)
w(9,88,0,30)
r(5,70,0,30)
r(6,77,5,31)
r(9,88,5,31)
w(6,89,5,31)
w(9,90,5,31)
r(7,58,10,32)
w(7,94,10,32)
r(9,90,10,32)
r(9,90,0,33)
w(9,92,0,33)
r(9,92,0,33)
r(5,70,5,34)
r(9,92,5,34)
r(9,92,10,35)
r(8,84,10,35)
w(8,98,10,35)
w(9,97,10,35)
r(9,97,0,36)
r(9,97,5,37)
r(9,97,10,38)
r(9,97,10,38)
w(9,103,10,38)
r(8,98,0,39)
r(8,98,0,39)
w(8,105,0,39)
r(9,108,10,40)
r(8,107,10,40)
