r(7,0,5,0)
r(9,0,5,0)
w(7,29978,5,0)
r(8,0,5,1)
w(8,30169,5,1)
r(7,29978,5,1)
w(7,30170,5,1)
r(8,30169,5,2)
r(6,0,5,2)
w(6,30172,5,2)
r(9,0,5,3)
w(9,30173,5,3)
r(8,30169,5,4)
r(9,30173,5,4)
w(8,30176,5,4)
r(9,30173,5,5)
w(9,30177,5,5)
r(9,30177,5,6)
w(9,30180,5,6)
r(9,30180,5,6)
r(5,0,30,7)
r(6,30172,30,7)
w(5,30027,30,7)
w(6,30028,30,7)
r(8,30176,20,8)
r(9,30180,20,8)
w(9,30008,20,8)
r(9,30008,20,9)
r(8,30176,20,9)
r(7,30170,30,10)
r(9,30008,30,10)
r(7,30170,35,11)
r(9,30008,35,11)
w(7,30038,35,11)
r(8,30182,25,12)
r(9,29997,25,12)
w(8,30017,25,12)
w(9,30018,25,12)
r(7,30038,50,13)
r(8,30182,50,13)
w(7,30068,50,13)
r(9,30077,45,14)
r(8,30017,45,14)
w(8,30058,45,14)
w(9,30057,45,14)
r(9,30057,60,15)
r(7,30068,60,15)
r(9,30018,55,16)
w(9,30077,55,16)
r(9,30181,15,17)
w(9,29997,15,17)
r(9,30008,5,18)
w(9,30181,5,18)
r(8,30176,5,18)
w(8,30182,5,18)
r(8,30058,65,19)
w(8,30097,65,19)
r(7,30068,65,19)
w(7,30098,65,19)
r(9,30057,55,20)
r(7,30098,55,20)
w(7,30202,55,20)
r(7,30202,60,21)
w(7,30203,60,21)
r(6,30028,45,22)
w(6,30196,45,22)
r(6,30196,45,22)
r(8,30097,30,23)
w(8,30190,30,23)
r(9,30057,30,23)
r(9,30057,40,24)
w(9,30047,40,24)
r(6,30196,40,24)
w(6,30048,40,24)
r(8,30190,35,25)
r(9,30047,55,26)
w(9,30210,55,26)
r(8,30190,55,26)
r(6,30048,30,27)
r(9,30047,30,27)
w(6,30214,30,27)
r(9,30148,40,28)
w(9,30220,40,28)
r(9,30220,40,28)
r(8,30190,20,29)
r(7,30203,20,29)
w(7,30188,20,29)
r(9,30210,90,30)
w(9,30148,90,30)
r(9,30148,90,30)
r(1,0,50,31)
r(1,0,50,31)
w(1,30197,50,31)
r(6,30214,0,32)
r(9,30220,0,32)
w(9,30168,0,32)
r(9,30168,30,33)
r(7,30188,30,33)
w(9,30224,30,33)
r(6,30214,55,34)
w(6,30222,55,34)
r(1,30197,55,34)
r(9,30220,35,35)
r(7,30188,35,35)
w(7,30218,35,35)
r(8,30190,90,36)
w(8,30229,90,36)
r(6,30222,30,37)
w(6,30235,30,37)
r(5,30027,45,38)
r(9,30224,45,38)
w(5,30211,45,38)
w(9,30212,45,38)
r(7,30218,85,39)
w(7,30137,85,39)
r(5,30211,35,40)
r(9,30212,75,41)
w(9,30118,75,41)
r(9,30118,75,41)
r(7,30137,45,42)
w(7,30242,45,42)
r(9,30212,45,42)
r(9,30118,60,43)
r(6,30235,60,43)
w(9,30215,60,43)
w(6,30216,60,43)
r(6,30216,35,44)
w(6,30249,35,44)
r(8,30247,35,44)
w(8,30250,35,44)
r(8,30229,85,45)
w(8,30247,85,45)
r(7,30242,85,45)
w(7,30248,85,45)
r(8,30250,75,46)
r(9,30215,75,46)
w(8,30251,75,46)
w(9,30252,75,46)
r(7,30248,45,47)
r(7,30248,45,47)
w(7,30253,45,47)
r(9,30252,40,48)
w(9,30226,40,48)
r(9,30226,40,48)
r(6,30249,60,49)
r(8,30251,60,49)
r(8,30243,35,50)
r(8,30243,35,50)
w(8,30259,35,50)
r(8,30251,90,51)
r(7,30253,90,51)
w(7,30244,90,51)
w(8,30243,90,51)
r(8,30243,75,52)
r(5,30211,75,52)
r(9,30226,30,53)
r(7,30244,30,53)
w(9,30245,30,53)
w(7,30246,30,53)
r(7,30246,60,54)
r(9,30245,60,54)
w(9,30264,60,54)
w(7,30263,60,54)
r(3,0,20,55)
r(8,30259,20,55)
w(8,30232,20,55)
r(7,30263,30,56)
r(8,30232,45,57)
w(8,30268,45,57)
r(8,30268,45,57)
r(9,30264,75,58)
w(9,30274,75,58)
r(9,30274,75,58)
r(6,30249,85,59)
r(6,30249,85,59)
w(6,30257,85,59)
r(7,30263,35,60)
r(9,30266,10,61)
r(8,30268,10,61)
w(9,29988,10,61)
r(9,30274,40,62)
w(9,30266,40,62)
r(9,30266,40,62)
r(8,30268,5,63)
r(7,30263,70,64)
w(7,30108,70,64)
r(7,30108,70,64)
r(6,30257,40,65)
r(7,30108,40,65)
w(7,30294,40,65)
r(8,30268,35,66)
r(9,29988,35,66)
w(8,30287,35,66)
w(9,30288,35,66)
r(9,30288,50,67)
r(9,30288,50,67)
w(9,30227,50,67)
r(9,30227,0,68)
w(9,30234,0,68)
r(9,30234,0,68)
r(8,30287,40,69)
w(8,30299,40,69)
r(7,30294,25,70)
r(8,30287,25,70)
w(7,30194,25,70)
r(8,30299,50,71)
r(6,30257,20,72)
r(6,30257,20,72)
w(6,30281,20,72)
r(8,30299,10,73)
w(8,30292,10,73)
r(7,30294,10,73)
r(7,30194,80,74)
r(9,30278,80,74)
w(9,30128,80,74)
w(7,30127,80,74)
r(5,30211,0,75)
r(8,30292,0,75)
r(9,30234,60,76)
r(7,30194,60,76)
w(9,30278,60,76)
r(9,30128,45,77)
w(9,30289,45,77)
r(7,30127,45,77)
w(7,30290,45,77)
r(4,0,50,78)
w(4,30311,50,78)
r(9,30289,20,79)
r(7,30290,20,79)
w(7,30314,20,79)
r(9,30289,70,80)
r(8,30292,70,80)
w(8,30298,70,80)
r(9,30237,90,81)
r(8,30298,90,81)
w(8,30272,90,81)
w(9,30271,90,81)
r(9,30289,55,82)
r(7,30318,55,82)
w(9,30237,55,82)
w(7,30238,55,82)
r(7,30314,10,83)
w(7,30318,10,83)
r(7,30318,10,83)
r(9,30158,45,84)
r(8,30272,45,84)
w(8,30324,45,84)
w(9,30323,45,84)
r(6,30157,70,85)
r(9,30323,70,85)
w(6,30329,70,85)
w(9,30330,70,85)
r(7,30334,85,86)
r(4,30311,85,86)
w(7,30283,85,86)
w(4,30284,85,86)
r(9,30323,50,87)
r(8,30331,55,88)
r(9,30330,55,88)
r(8,30331,75,89)
w(8,30279,75,89)
r(6,30329,75,89)
w(6,30280,75,89)
r(8,30324,90,90)
r(8,30324,90,90)
w(8,30331,90,90)
r(7,30238,10,91)
w(7,30334,10,91)
r(9,30330,10,91)
r(6,30281,95,92)
w(6,30157,95,92)
r(9,30271,95,92)
w(9,30158,95,92)
r(9,30330,40,93)
r(7,30283,40,93)
w(7,30308,40,93)
r(6,30280,45,94)
w(6,30341,45,94)
r(9,30207,70,95)
w(9,30347,70,95)
r(8,30208,70,95)
w(8,30348,70,95)
r(7,30308,50,96)
